DATE,AISRSA
1993-01-01,2.433
1993-02-01,2.760
1993-03-01,2.695
1993-04-01,2.487
1993-05-01,2.513
1993-06-01,2.449
1993-07-01,2.459
1993-08-01,2.647
1993-09-01,2.551
1993-10-01,2.241
1993-11-01,2.269
1993-12-01,2.359
1994-01-01,2.284
1994-02-01,2.211
1994-03-01,2.267
1994-04-01,2.120
1994-05-01,2.407
1994-06-01,2.416
1994-07-01,2.552
1994-08-01,2.425
1994-09-01,2.385
1994-10-01,2.325
1994-11-01,2.278
1994-12-01,2.319
1995-01-01,2.684
1995-02-01,2.815
1995-03-01,2.818
1995-04-01,3.095
1995-05-01,2.999
1995-06-01,2.844
1995-07-01,3.005
1995-08-01,2.673
1995-09-01,2.688
1995-10-01,2.845
1995-11-01,2.742
1995-12-01,2.565
1996-01-01,2.849
1996-02-01,2.624
1996-03-01,2.218
1996-04-01,2.324
1996-05-01,2.178
1996-06-01,2.430
1996-07-01,2.580
1996-08-01,2.592
1996-09-01,2.549
1996-10-01,2.589
1996-11-01,2.498
1996-12-01,2.478
1997-01-01,2.285
1997-02-01,2.418
1997-03-01,2.373
1997-04-01,2.450
1997-05-01,2.438
1997-06-01,2.558
1997-07-01,2.437
1997-08-01,2.356
1997-09-01,2.568
1997-10-01,2.520
1997-11-01,2.542
1997-12-01,2.368
1998-01-01,2.762
1998-02-01,2.676
1998-03-01,2.652
1998-04-01,2.553
1998-05-01,2.332
1998-06-01,2.198
1998-07-01,2.436
1998-08-01,2.565
1998-09-01,2.264
1998-10-01,2.210
1998-11-01,2.526
1998-12-01,2.222
1999-01-01,2.560
1999-02-01,2.407
1999-03-01,2.467
1999-04-01,2.439
1999-05-01,2.395
1999-06-01,2.380
1999-07-01,2.318
1999-08-01,2.262
1999-09-01,2.363
1999-10-01,2.475
1999-11-01,2.441
1999-12-01,2.369
2000-01-01,2.257
2000-02-01,2.089
2000-03-01,2.237
2000-04-01,2.307
2000-05-01,2.319
2000-06-01,2.404
2000-07-01,2.494
2000-08-01,2.491
2000-09-01,2.463
2000-10-01,2.597
2000-11-01,2.697
2000-12-01,2.810
2001-01-01,2.427
2001-02-01,2.192
2001-03-01,2.356
2001-04-01,2.287
2001-05-01,2.227
2001-06-01,2.210
2001-07-01,2.308
2001-08-01,2.426
2001-09-01,2.323
2001-10-01,1.404
2001-11-01,1.760
2001-12-01,2.267
2002-01-01,2.305
2002-02-01,2.272
2002-03-01,2.286
2002-04-01,2.155
2002-05-01,2.41
2002-06-01,2.407
2002-07-01,2.269
2002-08-01,2.221
2002-09-01,2.556
2002-10-01,2.636
2002-11-01,2.696
2002-12-01,2.533
2003-01-01,2.564
2003-02-01,2.832
2003-03-01,2.750
2003-04-01,2.788
2003-05-01,2.877
2003-06-01,2.737
2003-07-01,2.804
2003-08-01,2.64
2003-09-01,2.758
2003-10-01,2.92
2003-11-01,2.674
2003-12-01,2.713
2004-01-01,2.895
2004-02-01,2.752
2004-03-01,2.657
2004-04-01,2.937
2004-05-01,2.637
2004-06-01,2.885
2004-07-01,2.705
2004-08-01,2.813
2004-09-01,2.783
2004-10-01,2.844
2004-11-01,2.700
2004-12-01,2.405
2005-01-01,2.549
2005-02-01,2.586
2005-03-01,2.406
2005-04-01,2.265
2005-05-01,2.351
2005-06-01,2.403
2005-07-01,2.109
2005-08-01,2.135
2005-09-01,2.028
2005-10-01,2.263
2005-11-01,2.191
2005-12-01,2.289
2006-01-01,1.843
2006-02-01,2.185
2006-03-01,2.354
2006-04-01,2.273
2006-05-01,2.452
2006-06-01,2.46
2006-07-01,2.218
2006-08-01,2.367
2006-09-01,2.437
2006-10-01,2.521
2006-11-01,2.612
2006-12-01,2.498
2007-01-01,2.531
2007-02-01,2.501
2007-03-01,2.574
2007-04-01,2.556
2007-05-01,2.340
2007-06-01,2.46
2007-07-01,2.683
2007-08-01,2.581
2007-09-01,2.482
2007-10-01,2.464
2007-11-01,2.226
2007-12-01,2.272
2008-01-01,2.221
2008-02-01,2.32
2008-03-01,2.394
2008-04-01,2.425
2008-05-01,2.122
2008-06-01,2.216
2008-07-01,2.609
2008-08-01,2.637
2008-09-01,2.825
2008-10-01,3.525
2008-11-01,4.220
2008-12-01,4.115
2009-01-01,4.643
2009-02-01,4.568
2009-03-01,4.091
2009-04-01,4.011
2009-05-01,3.584
2009-06-01,3.24
2009-07-01,2.383
2009-08-01,1.468
2009-09-01,2.592
2009-10-01,2.444
2009-11-01,2.366
2009-12-01,2.162
2010-01-01,2.461
2010-02-01,2.738
2010-03-01,2.37
2010-04-01,2.467
2010-05-01,2.446
2010-06-01,2.554
2010-07-01,2.539
2010-08-01,2.638
2010-09-01,2.657
2010-10-01,2.689
2010-11-01,2.696
2010-12-01,2.402
2011-01-01,2.437
2011-02-01,2.163
2011-03-01,1.989
2011-04-01,1.913
2011-05-01,2.138
2011-06-01,2.242
2011-07-01,2.209
2011-08-01,2.245
2011-09-01,2.13
2011-10-01,2.042
2011-11-01,2.146
2011-12-01,2.255
2012-01-01,2.094
2012-02-01,1.921
2012-03-01,1.978
2012-04-01,2.055
2012-05-01,2.18
2012-06-01,2.278
2012-07-01,2.446
2012-08-01,2.415
2012-09-01,2.347
2012-10-01,2.442
2012-11-01,2.378
2012-12-01,2.374
2013-01-01,2.269
2013-02-01,2.314
2013-03-01,2.423
2013-04-01,2.477
2013-05-01,2.568
2013-06-01,2.532
2013-07-01,2.459
2013-08-01,2.585
2013-09-01,2.590
2013-10-01,2.718
2013-11-01,2.704
2013-12-01,2.812
2014-01-01,2.918
2014-02-01,2.989
2014-03-01,2.791
2014-04-01,2.771
2014-05-01,2.629
2014-06-01,2.468
2014-07-01,2.645
2014-08-01,2.503
2014-09-01,2.613
2014-10-01,2.565
2014-11-01,2.575
2014-12-01,2.522
2015-01-01,2.687
2015-02-01,2.829
2015-03-01,2.618
2015-04-01,2.685
2015-05-01,2.595
2015-06-01,2.595
2015-07-01,2.578
2015-08-01,2.589
2015-09-01,2.633
2015-10-01,2.504
2015-11-01,2.539
2015-12-01,2.6
2016-01-01,2.494
2016-02-01,2.479
2016-03-01,2.635
