DATE,CUSR0000SETB01
1967-01-01,26.300
1967-02-01,26.200
1967-03-01,26.100
1967-04-01,26.400
1967-05-01,26.400
1967-06-01,26.400
1967-07-01,26.400
1967-08-01,26.400
1967-09-01,26.700
1967-10-01,26.400
1967-11-01,26.800
1967-12-01,26.400
1968-01-01,26.800
1968-02-01,26.900
1968-03-01,26.800
1968-04-01,26.500
1968-05-01,26.600
1968-06-01,26.700
1968-07-01,26.800
1968-08-01,27.000
1968-09-01,26.900
1968-10-01,26.900
1968-11-01,27.100
1968-12-01,26.900
1969-01-01,27.100
1969-02-01,27.200
1969-03-01,27.700
1969-04-01,27.900
1969-05-01,27.800
1969-06-01,28.000
1969-07-01,27.800
1969-08-01,27.800
1969-09-01,27.700
1969-10-01,27.800
1969-11-01,27.500
1969-12-01,27.700
1970-01-01,27.600
1970-02-01,27.800
1970-03-01,27.200
1970-04-01,28.300
1970-05-01,28.100
1970-06-01,27.800
1970-07-01,28.000
1970-08-01,27.500
1970-09-01,27.700
1970-10-01,28.100
1970-11-01,28.200
1970-12-01,28.400
1971-01-01,28.500
1971-02-01,28.200
1971-03-01,27.900
1971-04-01,27.500
1971-05-01,27.500
1971-06-01,27.700
1971-07-01,27.300
1971-08-01,28.400
1971-09-01,28.600
1971-10-01,28.700
1971-11-01,28.400
1971-12-01,28.500
1972-01-01,28.300
1972-02-01,28.100
1972-03-01,28.100
1972-04-01,27.800
1972-05-01,28.000
1972-06-01,27.800
1972-07-01,28.000
1972-08-01,28.400
1972-09-01,29.000
1972-10-01,29.100
1972-11-01,29.300
1972-12-01,29.300
1973-01-01,29.400
1973-02-01,29.600
1973-03-01,29.700
1973-04-01,30.200
1973-05-01,30.400
1973-06-01,31.100
1973-07-01,31.000
1973-08-01,31.000
1973-09-01,30.800
1973-10-01,32.200
1973-11-01,33.700
1973-12-01,35.200
1974-01-01,37.200
1974-02-01,39.300
1974-03-01,42.200
1974-04-01,42.800
1974-05-01,43.600
1974-06-01,43.700
1974-07-01,43.700
1974-08-01,43.500
1974-09-01,43.300
1974-10-01,42.600
1974-11-01,42.400
1974-12-01,42.500
1975-01-01,42.800
