Date,Manheim
1/1/1997,100
2/1/1997,100.3
3/1/1997,100.2
4/1/1997,100
5/1/1997,100.4
6/1/1997,99.6
7/1/1997,99.7
8/1/1997,101.2
9/1/1997,100.1
10/1/1997,101
11/1/1997,99.9
12/1/1997,100.1
1/1/1998,100.6
2/1/1998,100.8
3/1/1998,101.3
4/1/1998,103.1
5/1/1998,102.6
6/1/1998,102.8
7/1/1998,105.3
8/1/1998,105.3
9/1/1998,106.5
10/1/1998,107.5
11/1/1998,108.2
12/1/1998,108.4
1/1/1999,108.8
2/1/1999,108.8
3/1/1999,107.8
4/1/1999,108.8
5/1/1999,109.1
6/1/1999,109.3
7/1/1999,109.6
8/1/1999,110.1
9/1/1999,110
10/1/1999,110
11/1/1999,109.9
12/1/1999,109.8
1/1/2000,109.1
2/1/2000,109.5
3/1/2000,110.1
4/1/2000,109.8
5/1/2000,110.2
6/1/2000,110.9
7/1/2000,110.8
8/1/2000,111
9/1/2000,111.3
10/1/2000,111.6
11/1/2000,111.6
12/1/2000,111.8
1/1/2001,111.8
2/1/2001,111.9
3/1/2001,111.1
4/1/2001,110.9
5/1/2001,110.5
6/1/2001,110
7/1/2001,109.7
8/1/2001,110.9
9/1/2001,109.3
10/1/2001,108.4
11/1/2001,109.2
12/1/2001,110.4
1/1/2002,111.7
2/1/2002,113
3/1/2002,111.8
4/1/2002,111.4
5/1/2002,110.9
6/1/2002,109.6
7/1/2002,108.8
8/1/2002,107.8
9/1/2002,107.1
10/1/2002,105.8
11/1/2002,106.1
12/1/2002,106.3
1/1/2003,105.2
2/1/2003,104.3
3/1/2003,102.5
4/1/2003,102.9
5/1/2003,104.2
6/1/2003,106.5
7/1/2003,107.9
8/1/2003,109
9/1/2003,109.9
10/1/2003,110.8
11/1/2003,110.3
12/1/2003,109.3
1/1/2004,108.5
2/1/2004,109.3
3/1/2004,110.3
4/1/2004,111.2
5/1/2004,111.9
6/1/2004,111.4
7/1/2004,111.9
8/1/2004,111.6
9/1/2004,111.5
10/1/2004,111.6
11/1/2004,111.7
12/1/2004,112.4
1/1/2005,113.4
2/1/2005,115
3/1/2005,115.9
4/1/2005,116.2
5/1/2005,115.9
6/1/2005,115.2
7/1/2005,114.5
8/1/2005,114.4
9/1/2005,115.6
10/1/2005,116.8
11/1/2005,118.1
12/1/2005,119.3
1/1/2006,119.4
2/1/2006,118.8
3/1/2006,117.7
4/1/2006,117.2
5/1/2006,116.7
6/1/2006,117
7/1/2006,116.9
8/1/2006,116.9
9/1/2006,116.5
10/1/2006,117.1
11/1/2006,118.2
12/1/2006,118.8
1/1/2007,118.8
2/1/2007,119.5
3/1/2007,120.5
4/1/2007,120.9
5/1/2007,121.9
